hidden_dims,activation,dropout_rate,lr,weight_decay,clip_value,epochs,early_stopping_patience,use_bn,val_mse,time_s
"[256, 128, 64]",relu,0.1,0.001,0.0001,1.0,5,15,True,0.3411291837692261,6.1628947257995605
"[256, 128, 64]",leaky_relu,0.1,0.001,0.0001,1.0,5,15,True,0.34771737456321716,6.251160383224487
"[256, 128, 64]",leaky_relu,0.1,0.001,0.001,1.0,5,15,True,0.3503063917160034,6.196899652481079
"[256, 128, 64]",relu,0.1,0.001,0.001,1.0,5,15,True,0.3516175448894501,6.535493850708008
"[256, 128, 64]",relu,0.1,0.0005,0.0001,1.0,5,15,True,0.35651880502700806,6.806826829910278
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.0001,1.0,5,15,True,0.3579495847225189,6.279969930648804
"[256, 128, 64]",leaky_relu,0.1,0.0005,0.001,1.0,5,15,True,0.3580472767353058,6.2586188316345215
"[256, 128, 64]",relu,0.1,0.0005,0.001,1.0,5,15,True,0.36261019110679626,6.193520784378052
"[128, 64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,5,15,True,0.36623793840408325,5.584155082702637
"[128, 64, 32]",leaky_relu,0.1,0.001,0.001,1.0,5,15,True,0.3707185387611389,5.376512765884399
"[128, 64, 32]",relu,0.1,0.001,0.0001,1.0,5,15,True,0.3747822046279907,5.523481607437134
"[128, 64, 32]",relu,0.1,0.001,0.001,1.0,5,15,True,0.3753606975078583,5.506972074508667
"[64, 32]",leaky_relu,0.1,0.001,0.0001,1.0,5,15,True,0.38107410073280334,11.588456630706787
"[64, 32]",relu,0.1,0.001,0.0001,1.0,5,15,True,0.38151815533638,5.502384901046753
"[64, 32]",relu,0.1,0.001,0.001,1.0,5,15,True,0.3821444511413574,4.413125276565552
"[64, 32]",leaky_relu,0.1,0.001,0.001,1.0,5,15,True,0.38292795419692993,9.540584087371826
"[256, 128, 64]",leaky_relu,0.3,0.001,0.001,1.0,5,15,True,0.3855980336666107,6.3091065883636475
"[256, 128, 64]",relu,0.3,0.001,0.001,1.0,5,15,True,0.38770949840545654,6.177828788757324
"[256, 128, 64]",leaky_relu,0.3,0.001,0.0001,1.0,5,15,True,0.39223840832710266,6.207896709442139
"[256, 128, 64]",relu,0.3,0.001,0.0001,1.0,5,15,True,0.39938777685165405,6.572131633758545
"[64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,5,15,True,0.4049534499645233,4.980470180511475
"[64, 32]",relu,0.1,0.0005,0.0001,1.0,5,15,True,0.40500712394714355,4.516003608703613
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.0001,1.0,5,15,True,0.40532878041267395,5.597470283508301
"[64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,5,15,True,0.40538281202316284,4.486598014831543
"[64, 32]",relu,0.1,0.0005,0.001,1.0,5,15,True,0.4056110382080078,6.744255065917969
"[128, 64, 32]",relu,0.1,0.0005,0.0001,1.0,5,15,True,0.4081856608390808,5.543940782546997
"[128, 64, 32]",leaky_relu,0.1,0.0005,0.001,1.0,5,15,True,0.41111108660697937,5.436622619628906
"[128, 64, 32]",relu,0.1,0.0005,0.001,1.0,5,15,True,0.4188612401485443,5.559131145477295
"[128, 64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,5,15,True,0.4455516040325165,5.58554220199585
"[128, 64, 32]",leaky_relu,0.3,0.001,0.001,1.0,5,15,True,0.4458204507827759,5.513532638549805
"[128, 64, 32]",relu,0.3,0.001,0.0001,1.0,5,15,True,0.44877323508262634,5.582724571228027
"[128, 64, 32]",relu,0.3,0.001,0.001,1.0,5,15,True,0.4541402757167816,5.528192043304443
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.0001,1.0,5,15,True,0.4548827111721039,6.120334625244141
"[256, 128, 64]",relu,0.3,0.0005,0.0001,1.0,5,15,True,0.46575477719306946,6.2723228931427
"[256, 128, 64]",relu,0.3,0.0005,0.001,1.0,5,15,True,0.46947360038757324,6.240978717803955
"[64, 32]",leaky_relu,0.3,0.001,0.0001,1.0,5,15,True,0.4729314148426056,4.4965057373046875
"[64, 32]",leaky_relu,0.3,0.001,0.001,1.0,5,15,True,0.4729886054992676,4.395033121109009
"[256, 128, 64]",leaky_relu,0.3,0.0005,0.001,1.0,5,15,True,0.47440773248672485,6.463659286499023
"[64, 32]",relu,0.3,0.001,0.0001,1.0,5,15,True,0.4756619930267334,11.648871660232544
"[64, 32]",relu,0.3,0.001,0.001,1.0,5,15,True,0.47578293085098267,11.426737308502197
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,5,15,True,0.49307265877723694,5.620203733444214
"[128, 64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,5,15,True,0.4947609007358551,5.553580284118652
"[128, 64, 32]",relu,0.3,0.0005,0.001,1.0,5,15,True,0.49609383940696716,5.521215915679932
"[128, 64, 32]",relu,0.3,0.0005,0.0001,1.0,5,15,True,0.4994599223136902,5.51279616355896
"[64, 32]",leaky_relu,0.3,0.0005,0.0001,1.0,5,15,True,0.570736289024353,4.258800983428955
"[64, 32]",leaky_relu,0.3,0.0005,0.001,1.0,5,15,True,0.5716170072555542,4.334061145782471
"[64, 32]",relu,0.3,0.0005,0.0001,1.0,5,15,True,0.5757690072059631,6.565700054168701
"[64, 32]",relu,0.3,0.0005,0.001,1.0,5,15,True,0.5763144493103027,8.896884679794312
